Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,RSI
1980-12-12 00:00:00-05:00,0.0991920530796051,0.09962329894200654,0.0991920530796051,0.0991920530796051,469033600,0.0,0.0,,0.0991920530796051,
1980-12-15 00:00:00-05:00,0.09444843132690758,0.09444843132690758,0.09401718527078629,0.09401718527078629,175884800,0.0,0.0,,0.09869920852638427,
1980-12-16 00:00:00-05:00,0.0875477798586303,0.0875477798586303,0.087116539478302,0.087116539478302,105728000,0.0,0.0,,0.09759609718847168,
1980-12-17 00:00:00-05:00,0.08927270770072937,0.08970395362082083,0.08927270770072937,0.08927270770072937,86441600,0.0,0.0,,0.09680339342773431,
1980-12-18 00:00:00-05:00,0.09186096489429474,0.09229220515773147,0.09186096489429474,0.09186096489429474,73449600,0.0,0.0,,0.09633268594835911,
1980-12-19 00:00:00-05:00,0.09746714681386948,0.09789839296681953,0.09746714681386948,0.09746714681386948,48630400,0.0,0.0,,0.09644072984031249,
1980-12-22 00:00:00-05:00,0.10221075266599655,0.1026427700695202,0.10221075266599655,0.10221075266599655,37363200,0.0,0.0,,0.09699025582371097,
1980-12-23 00:00:00-05:00,0.10652397572994232,0.10695522166307268,0.10652397572994232,0.10652397572994232,46950400,0.0,0.0,,0.09789822914811395,
1980-12-24 00:00:00-05:00,0.11213019490242004,0.11256144105319332,0.11213019490242004,0.11213019490242004,48003200,0.0,0.0,,0.09925365445804787,
1980-12-26 00:00:00-05:00,0.12248077988624573,0.12291202594856863,0.12248077988624573,0.12248077988624573,55574400,0.0,0.0,,0.10146576164168576,
1980-12-29 00:00:00-05:00,0.12420571595430374,0.12463696188932447,0.12420571595430374,0.12420571595430374,93161600,0.0,0.0,,0.1036314715762208,
1980-12-30 00:00:00-05:00,0.12161823582875918,0.12161823582875918,0.1211870014667511,0.1211870014667511,68880000,0.0,0.0,,0.10530342680389035,
1980-12-31 00:00:00-05:00,0.11816836051626518,0.11816836051626518,0.11773711442947388,0.11773711442947388,35750400,0.0,0.0,,0.1064875875301364,
1981-01-02 00:00:00-05:00,0.11903084069490433,0.1198933328650178,0.11903084069490433,0.11903084069490433,21660800,0.0,0.0,,0.1076821830696381,67.42475572974166
1981-01-05 00:00:00-05:00,0.11687462273643598,0.11687462273643598,0.11644338816404343,0.11644338816404343,35728000,0.0,0.0,,0.10851658355481957,64.4933954456348
1981-01-06 00:00:00-05:00,0.11169892449674737,0.11169892449674737,0.11126767843961717,0.11126767843961716,45158400,0.0,0.0,,0.10877859259146695,64.49248310905969
1981-01-07 00:00:00-05:00,0.10695522166307268,0.10695522166307268,0.10652397572994232,0.10652397572994232,55686400,0.0,0.0,,0.10856386717608366,66.91770225667045
1981-01-08 00:00:00-05:00,0.10479904208318652,0.10479904208318652,0.10436780750751495,0.10436780750751495,39827200,0.0,0.0,,0.10816424244574378,63.15858523272685
1981-01-09 00:00:00-05:00,0.10997394472360611,0.11040519075304851,0.10997394472360611,0.10997394472360611,21504000,0.0,0.0,,0.10833659504363544,65.00008699876832
1981-01-12 00:00:00-05:00,0.10997393104800739,0.10997393104800739,0.10911145061254501,0.10911145061254501,23699200,0.0,0.0,0.10710606090724469,0.10841039081210302,60.46536731023791
1981-01-13 00:00:00-05:00,0.10566153280328491,0.10566153280328491,0.10523028671741486,0.10523028671741486,23049600,0.0,0.0,0.10740797258913518,0.10810752375546605,52.75655236799939
1981-01-14 00:00:00-05:00,0.10566149652004242,0.10609274245782635,0.10566149652004242,0.10566149652004242,14291200,0.0,0.0,0.10799018815159797,0.10787456878066379,49.15257289586105
1981-01-15 00:00:00-05:00,0.10781770199537277,0.10868018225320063,0.10781770199537277,0.10781770199537277,14067200,0.0,0.0,0.10902524627745151,0.10786915289635035,45.45460970596508
1981-01-16 00:00:00-05:00,0.10738649864561482,0.10738649864561482,0.10695525258779526,0.10695525258779526,13395200,0.0,0.0,0.10990937352180481,0.10778211477172606,29.544736615296543
1981-01-19 00:00:00-05:00,0.1134239062666893,0.11385515235825715,0.1134239062666893,0.1134239062666893,41574400,0.0,0.0,0.11098752059042453,0.10831942824743684,37.37305959532642
1981-01-20 00:00:00-05:00,0.11040519075304851,0.11040519075304851,0.10997394472360611,0.10997394472360611,30083200,0.0,0.0,0.11161286048591137,0.10847700124516725,36.9993308718586
1981-01-21 00:00:00-05:00,0.11213019490242004,0.11299267568779306,0.11213019490242004,0.11213019490242004,15904000,0.0,0.0,0.11210883259773255,0.10882492445061989,43.298174369935
1981-01-22 00:00:00-05:00,0.1134239062666893,0.114286398449825,0.1134239062666893,0.1134239062666893,35548800,0.0,0.0,0.11245382912456989,0.10926292271881699,43.2981541715751
